Training on train env ...
Epoch: [1][186/200]	Time 10.526 (11.419)	Loss 8.8154 (11.9291)	
Epoch: [1][187/200]	Time 10.316 (11.413)	Loss 8.4197 (11.9104)	
Epoch: [1][188/200]	Time 10.246 (11.407)	Loss 9.3393 (11.8967)	
Epoch: [1][189/200]	Time 10.900 (11.404)	Loss 7.6870 (11.8744)	
Epoch: [1][190/200]	Time 10.474 (11.399)	Loss 9.9407 (11.8642)	
Epoch: [1][191/200]	Time 10.365 (11.394)	Loss 9.3943 (11.8513)	
Epoch: [1][192/200]	Time 10.957 (11.392)	Loss 8.2967 (11.8328)	
Epoch: [1][193/200]	Time 10.269 (11.386)	Loss 7.7280 (11.8115)	
Epoch: [1][194/200]	Time 11.304 (11.386)	Loss 9.3982 (11.7991)	
Epoch: [1][195/200]	Time 10.845 (11.383)	Loss 9.2627 (11.7861)	
Epoch: [1][196/200]	Time 10.358 (11.378)	Loss 7.4794 (11.7641)	
Epoch: [1][197/200]	Time 10.406 (11.373)	Loss 8.1986 (11.7460)	
Epoch: [1][198/200]	Time 10.798 (11.370)	Loss 9.3393 (11.7338)	
Epoch: [1][199/200]	Time 10.320 (11.364)	Loss 8.8248 (11.7192)	
Epoch: [1][200/200]	Time 10.419 (11.360)	Loss 7.7692 (11.6995)	
Training on train env ...
Epoch: [2][1/200]	Time 9.688 (9.688)	Loss 8.5433 (8.5433)	
Epoch: [2][2/200]	Time 10.835 (10.262)	Loss 8.7482 (8.6457)	
Epoch: [2][3/200]	Time 10.136 (10.220)	Loss 8.3373 (8.5429)	
Epoch: [2][4/200]	Time 10.273 (10.233)	Loss 7.8257 (8.3636)	
Epoch: [2][5/200]	Time 10.763 (10.339)	Loss 8.4711 (8.3851)	
Epoch: [2][6/200]	Time 10.442 (10.356)	Loss 8.9072 (8.4721)	
Epoch: [2][7/200]	Time 11.170 (10.473)	Loss 8.6553 (8.4983)	
Epoch: [2][8/200]	Time 11.150 (10.557)	Loss 9.2080 (8.5870)	
Epoch: [2][9/200]	Time 10.480 (10.549)	Loss 9.7511 (8.7164)	
Epoch: [2][10/200]	Time 10.970 (10.591)	Loss 8.3988 (8.6846)	
Epoch: [2][11/200]	Time 10.378 (10.571)	Loss 9.9464 (8.7993)	
Epoch: [2][12/200]	Time 10.085 (10.531)	Loss 10.6891 (8.9568)	
Epoch: [2][13/200]	Time 10.626 (10.538)	Loss 9.7857 (9.0205)	
Epoch: [2][14/200]	Time 10.367 (10.526)	Loss 10.0956 (9.0973)	
Epoch: [2][15/200]	Time 10.406 (10.518)	Loss 8.7365 (9.0733)	
Epoch: [2][16/200]	Time 10.805 (10.536)	Loss 7.3204 (8.9637)	
Epoch: [2][17/200]	Time 9.929 (10.500)	Loss 8.4873 (8.9357)	
Epoch: [2][18/200]	Time 10.424 (10.496)	Loss 8.1271 (8.8908)	
Epoch: [2][19/200]	Time 10.202 (10.480)	Loss 9.5847 (8.9273)	
Epoch: [2][20/200]	Time 10.249 (10.469)	Loss 7.4437 (8.8531)	
Epoch: [2][21/200]	Time 10.310 (10.461)	Loss 8.8981 (8.8553)	
Epoch: [2][22/200]	Time 10.624 (10.469)	Loss 7.9412 (8.8137)	
Epoch: [2][23/200]	Time 10.339 (10.463)	Loss 9.3792 (8.8383)	
Epoch: [2][24/200]	Time 10.551 (10.467)	Loss 8.7238 (8.8335)	
Epoch: [2][25/200]	Time 10.443 (10.466)	Loss 8.6791 (8.8273)	
Epoch: [2][26/200]	Time 10.333 (10.461)	Loss 8.9163 (8.8308)	
Epoch: [2][27/200]	Time 10.127 (10.448)	Loss 8.8879 (8.8329)	
Epoch: [2][28/200]	Time 10.375 (10.446)	Loss 10.0397 (8.8760)	
Epoch: [2][29/200]	Time 10.059 (10.432)	Loss 9.4113 (8.8944)	
Epoch: [2][30/200]	Time 10.469 (10.434)	Loss 9.4712 (8.9137)	
Epoch: [2][31/200]	Time 9.992 (10.419)	Loss 9.3997 (8.9294)	
Epoch: [2][32/200]	Time 10.477 (10.421)	Loss 10.3879 (8.9749)	
Epoch: [2][33/200]	Time 11.397 (10.451)	Loss 7.6384 (8.9344)	
Epoch: [2][34/200]	Time 10.085 (10.440)	Loss 9.9066 (8.9630)	
Epoch: [2][35/200]	Time 10.147 (10.432)	Loss 10.1930 (8.9982)	
Epoch: [2][36/200]	Time 9.812 (10.414)	Loss 8.7261 (8.9906)	
Epoch: [2][37/200]	Time 9.960 (10.402)	Loss 7.7753 (8.9578)	
Epoch: [2][38/200]	Time 10.037 (10.393)	Loss 8.1418 (8.9363)	
Epoch: [2][39/200]	Time 10.358 (10.392)	Loss 8.0561 (8.9137)	
Epoch: [2][40/200]	Time 10.468 (10.394)	Loss 8.9794 (8.9154)	
Epoch: [2][41/200]	Time 9.677 (10.376)	Loss 8.9192 (8.9155)	
Epoch: [2][42/200]	Time 9.663 (10.359)	Loss 8.4842 (8.9052)	
Epoch: [2][43/200]	Time 10.116 (10.353)	Loss 7.5633 (8.8740)	
Epoch: [2][44/200]	Time 9.689 (10.338)	Loss 7.4334 (8.8412)	
Epoch: [2][45/200]	Time 10.036 (10.332)	Loss 8.3993 (8.8314)	
Epoch: [2][46/200]	Time 10.022 (10.325)	Loss 7.1657 (8.7952)	
Epoch: [2][47/200]	Time 11.034 (10.340)	Loss 9.6143 (8.8126)	
Epoch: [2][48/200]	Time 10.284 (10.339)	Loss 9.1090 (8.8188)	
Epoch: [2][49/200]	Time 10.331 (10.339)	Loss 8.3981 (8.8102)	
Epoch: [2][50/200]	Time 10.797 (10.348)	Loss 8.2657 (8.7993)	
Epoch: [2][51/200]	Time 10.505 (10.351)	Loss 8.9827 (8.8029)	
Epoch: [2][52/200]	Time 10.222 (10.348)	Loss 8.2595 (8.7925)	
Epoch: [2][53/200]	Time 9.277 (10.328)	Loss 9.5757 (8.8073)	
Epoch: [2][54/200]	Time 9.689 (10.316)	Loss 8.4549 (8.8007)	
Epoch: [2][55/200]	Time 10.179 (10.314)	Loss 9.1750 (8.8075)	
Epoch: [2][56/200]	Time 9.846 (10.305)	Loss 10.2671 (8.8336)	
Epoch: [2][57/200]	Time 9.868 (10.298)	Loss 9.6274 (8.8475)	
Epoch: [2][58/200]	Time 9.326 (10.281)	Loss 8.3350 (8.8387)	
Epoch: [2][59/200]	Time 10.337 (10.282)	Loss 8.5756 (8.8342)	
Epoch: [2][60/200]	Time 10.005 (10.277)	Loss 8.4378 (8.8276)	
Epoch: [2][61/200]	Time 9.892 (10.271)	Loss 8.0898 (8.8155)	
Epoch: [2][62/200]	Time 9.378 (10.257)	Loss 8.0974 (8.8039)	
Epoch: [2][63/200]	Time 9.696 (10.248)	Loss 9.3455 (8.8125)	
Epoch: [2][64/200]	Time 9.966 (10.243)	Loss 9.6559 (8.8257)	
Epoch: [2][65/200]	Time 9.575 (10.233)	Loss 8.1320 (8.8150)	
Epoch: [2][66/200]	Time 9.885 (10.228)	Loss 9.8388 (8.8306)	
Epoch: [2][67/200]	Time 9.889 (10.223)	Loss 8.8388 (8.8307)	
Epoch: [2][68/200]	Time 9.548 (10.213)	Loss 8.2466 (8.8221)	
Epoch: [2][69/200]	Time 9.315 (10.200)	Loss 7.2479 (8.7993)	
Epoch: [2][70/200]	Time 9.624 (10.192)	Loss 9.5340 (8.8098)	
Epoch: [2][71/200]	Time 9.501 (10.182)	Loss 8.0538 (8.7991)	
Epoch: [2][72/200]	Time 9.828 (10.177)	Loss 8.5058 (8.7951)	
Epoch: [2][73/200]	Time 9.550 (10.168)	Loss 8.5533 (8.7917)	
Epoch: [2][74/200]	Time 9.624 (10.161)	Loss 8.4140 (8.7866)	
Epoch: [2][75/200]	Time 9.492 (10.152)	Loss 8.5322 (8.7832)	
Epoch: [2][76/200]	Time 9.671 (10.146)	Loss 9.0049 (8.7862)	
Epoch: [2][77/200]	Time 9.796 (10.141)	Loss 7.9119 (8.7748)	
Epoch: [2][78/200]	Time 9.754 (10.136)	Loss 7.5340 (8.7589)	
Epoch: [2][79/200]	Time 9.575 (10.129)	Loss 8.6697 (8.7578)	
Epoch: [2][80/200]	Time 9.869 (10.126)	Loss 9.2727 (8.7642)	
Epoch: [2][81/200]	Time 9.916 (10.123)	Loss 8.5898 (8.7620)	
Epoch: [2][82/200]	Time 9.186 (10.112)	Loss 9.1704 (8.7670)	
Epoch: [2][83/200]	Time 9.680 (10.107)	Loss 8.3570 (8.7621)	
Epoch: [2][84/200]	Time 9.585 (10.100)	Loss 9.1540 (8.7668)	
Epoch: [2][85/200]	Time 10.138 (10.101)	Loss 8.0276 (8.7581)	
Epoch: [2][86/200]	Time 9.952 (10.099)	Loss 8.6085 (8.7563)	
Epoch: [2][87/200]	Time 10.043 (10.099)	Loss 7.6706 (8.7438)	
Epoch: [2][88/200]	Time 9.703 (10.094)	Loss 8.5266 (8.7414)	
Epoch: [2][89/200]	Time 9.553 (10.088)	Loss 9.0333 (8.7447)	
Epoch: [2][90/200]	Time 9.555 (10.082)	Loss 9.5410 (8.7535)	
Epoch: [2][91/200]	Time 9.279 (10.073)	Loss 8.6536 (8.7524)	
Epoch: [2][92/200]	Time 9.401 (10.066)	Loss 8.8236 (8.7532)	
Epoch: [2][93/200]	Time 10.036 (10.066)	Loss 8.4798 (8.7502)	
Epoch: [2][94/200]	Time 9.953 (10.064)	Loss 8.6766 (8.7495)	
Epoch: [2][95/200]	Time 9.472 (10.058)	Loss 6.7491 (8.7284)	
Epoch: [2][96/200]	Time 9.430 (10.052)	Loss 7.9990 (8.7208)	
Epoch: [2][97/200]	Time 9.583 (10.047)	Loss 7.1233 (8.7043)	
Epoch: [2][98/200]	Time 9.723 (10.043)	Loss 7.9786 (8.6969)	
Epoch: [2][99/200]	Time 9.972 (10.043)	Loss 9.3531 (8.7036)	
Epoch: [2][100/200]	Time 9.565 (10.038)	Loss 9.6818 (8.7133)	
Epoch: [2][101/200]	Time 9.809 (10.036)	Loss 9.4704 (8.7208)	
Epoch: [2][102/200]	Time 9.988 (10.035)	Loss 8.7373 (8.7210)	
Epoch: [2][103/200]	Time 9.448 (10.030)	Loss 7.1587 (8.7058)	
Epoch: [2][104/200]	Time 9.805 (10.027)	Loss 8.1380 (8.7004)	
Epoch: [2][105/200]	Time 9.754 (10.025)	Loss 9.2210 (8.7053)	
Epoch: [2][106/200]	Time 9.398 (10.019)	Loss 8.9487 (8.7076)	
Epoch: [2][107/200]	Time 9.457 (10.014)	Loss 9.4918 (8.7149)	
Epoch: [2][108/200]	Time 10.155 (10.015)	Loss 8.4769 (8.7127)	
Epoch: [2][109/200]	Time 9.741 (10.012)	Loss 9.3012 (8.7181)	
Epoch: [2][110/200]	Time 10.201 (10.014)	Loss 6.5251 (8.6982)	
Epoch: [2][111/200]	Time 9.719 (10.011)	Loss 7.8426 (8.6905)	
Epoch: [2][112/200]	Time 9.812 (10.010)	Loss 9.3031 (8.6960)	
Epoch: [2][113/200]	Time 9.369 (10.004)	Loss 8.1537 (8.6912)	
Epoch: [2][114/200]	Time 9.409 (9.999)	Loss 8.9182 (8.6932)	
Epoch: [2][115/200]	Time 9.832 (9.997)	Loss 8.5487 (8.6919)	
Epoch: [2][116/200]	Time 9.616 (9.994)	Loss 8.4052 (8.6894)	
Epoch: [2][117/200]	Time 9.929 (9.993)	Loss 8.0741 (8.6842)	
Epoch: [2][118/200]	Time 9.654 (9.991)	Loss 9.6076 (8.6920)	
Epoch: [2][119/200]	Time 9.347 (9.985)	Loss 8.7294 (8.6923)	
Epoch: [2][120/200]	Time 9.441 (9.981)	Loss 8.5843 (8.6914)	
Epoch: [2][121/200]	Time 9.551 (9.977)	Loss 7.8529 (8.6845)	
Epoch: [2][122/200]	Time 9.423 (9.973)	Loss 8.8015 (8.6854)	
Epoch: [2][123/200]	Time 10.133 (9.974)	Loss 8.9222 (8.6874)	
Epoch: [2][124/200]	Time 9.826 (9.973)	Loss 9.9378 (8.6974)	
